TRIP_ID,LATITUDE,LONGITUDE,PUBLIC
T1,41.176845,-8.583975,True
T2,41.167665,-8.592957,False
T3,41.174082,-8.565462,True
T4,41.162382,-8.508105,False
T5,41.165181,-8.58906,True
T6,41.178222,-8.63064,True
T7,41.155686,-8.627373,False
T8,41.165064,-8.612487,False
T9,41.12415,-8.612172,True
T10,41.237451,-8.670195,False
T11,41.251518,-8.659449,False
T12,41.148324,-8.611074,True
T13,41.147829,-8.614341,True
T14,41.237595,-8.669538,True
T15,41.146713,-8.606961,True
T16,41.238351,-8.66151,True
T17,41.155146,-8.629074,False
T18,41.163696,-8.664606,False
T19,41.190732,-8.701893,True
T20,41.161671,-8.665011,True
T21,41.148909,-8.616087,True
T22,41.133573,-8.607528,False
T23,41.165424,-8.648874,False
T24,41.165739,-8.670186,True
T25,41.139666,-8.634897,False
T26,41.162886,-8.658225,True
T27,41.160312,-8.591436,True
T28,41.147109,-8.61138,False
T29,41.145831,-8.610858,True
T30,41.203188,-8.561907,True
T31,41.23755,-8.670231,False
T32,41.156586,-8.621028,True
T33,41.161266,-8.640747,True
T34,41.161788,-8.569242,False
T35,41.144031,-8.617041,True
T36,41.174811,-8.688519,False
T37,41.180346,-8.692416,False
T38,41.154867,-8.630604,False
T39,41.142753,-8.57484,False
T40,41.180544,-8.654184,False
T41,41.180166,-8.603712,True
T42,41.186925,-8.575272,True
T43,41.161914,-8.597043,False
T44,41.237145,-8.670168,True
T45,41.145381,-8.615556,False
T46,41.137884,-8.570601,False
T47,41.151771,-8.617707,False
T48,41.146092,-8.613747,True
T49,41.168394,-8.552898,False
T50,41.148432,-8.62902,False
T51,41.136327,-8.599383,True
T52,41.140611,-8.60976,False
T53,41.162859,-8.591598,True
T54,41.180364,-8.586045,True
T55,41.176179,-8.668809,False
T56,41.163066,-8.591931,False
T57,41.211531,-8.547363,True
T58,41.148909,-8.611173,False
T59,41.146011,-8.596269,True
T60,41.164272,-8.623899,False
T61,41.148531,-8.5986,False
T62,41.140845,-8.610057,False
T63,41.157405,-8.649729,True
T64,41.202909,-8.571969,True
T65,41.141115,-8.623305,False
T66,41.237055,-8.670141,False
T67,41.144139,-8.604927,False
T68,41.165109,-8.630802,True
T69,41.147271,-8.603865,True
T70,41.15151,-8.607168,True
T71,41.179482,-8.624331,True
T72,41.250672,-8.650539,False
T73,41.166054,-8.62497,False
T74,41.168052,-8.571528,False
T75,41.157558,-8.627247,False
T76,41.160537,-8.621217,False
T77,41.1534,-8.609985,False
T78,41.150025,-8.660151,True
T79,41.257521,-8.357715,False
T80,41.171031,-8.655615,False
T81,41.157396,-8.62551,True
T82,41.18409,-8.613369,False
T83,41.159169,-8.659647,True
T84,41.182785,-8.646093,True
T85,41.148324,-8.608059,True
T86,41.149062,-8.584146,False
T87,41.276556,-8.677071,True
T88,41.182866,-8.603946,True
T90,41.143716,-8.62164,False
T91,41.146956,-8.619948,False
T92,41.236749,-8.669934,True
T93,41.163318,-8.66133,True
T94,41.154894,-8.653401,True
T95,41.149098,-8.587071,False
T96,41.179968,-8.572716,False
T98,41.237442,-8.670276,False
T99,41.153589,-8.608419,True
T100,41.177619,-8.663427,False
T101,41.147541,-8.619849,False
T102,41.143986,-8.604756,True
T103,41.155146,-8.673309,False
T104,41.180535,-8.53092,False
T107,41.148954,-8.585676,True
T109,41.176026,-8.585793,True
T110,41.157522,-8.627553,True
T111,41.149962,-8.672814,True
T112,41.148846,-8.585829,True
T113,41.310252,-8.641233,False
T114,41.179113,-8.623386,True
T115,41.127525,-8.622,False
T116,41.259969,-8.610327,False
T117,41.181903,-8.482743,True
T118,41.183073,-8.601093,True
T119,41.179635,-8.602065,True
T120,41.23494,-8.639136,False
T121,41.125185,-8.605359,True
T122,41.156388,-8.62074,False
T123,41.159727,-8.675532,False
T124,41.160942,-8.629191,False
T125,41.151753,-8.599842,False
T126,41.157072,-8.629785,False
T127,41.156289,-8.652015,True
T128,41.154687,-8.612136,False
T129,41.152275,-8.606898,True
T130,41.147073,-8.620398,True
T131,41.169555,-8.546958,False
T132,41.151708,-8.609688,False
T133,41.142249,-8.617698,True
T134,41.176377,-8.668665,True
T135,41.163309,-8.608815,True
T136,41.149467,-8.604864,False
T137,41.146272,-8.611254,False
T138,41.069718,-8.577693,False
T139,41.155263,-8.607924,True
T140,41.147784,-8.620074,False
T141,41.132952,-8.598753,False
T142,41.15862,-8.62902,False
T143,41.164398,-8.63226,False
T144,41.156901,-8.631036,True
T145,41.180166,-8.531055,False
T146,41.146164,-8.604396,True
T147,41.147649,-8.622099,False
T148,41.154705,-8.5995,True
T149,41.151249,-8.582409,False
T151,41.158557,-8.639874,False
T152,41.052456,-8.524116,False
T153,41.164947,-8.590023,True
T154,41.160609,-8.609886,False
T155,41.189202,-8.636184,True
T156,41.146866,-8.620047,True
T157,41.179635,-8.602065,False
T158,41.161149,-8.54928,True
T159,41.183676,-8.624538,True
T160,41.155569,-8.679357,True
T161,41.148765,-8.585658,False
T162,41.161149,-8.624187,False
T163,41.161104,-8.640765,True
T164,41.153571,-8.678799,True
T166,41.15349,-8.645904,True
T167,41.161698,-8.603001,True
T168,41.167287,-8.606547,False
T169,41.18949,-8.576415,True
T170,41.159502,-8.570259,True
T171,41.165361,-8.64747,False
T172,41.181795,-8.65809,False
T173,41.193657,-8.668062,True
T174,41.148792,-8.585739,False
T175,41.161743,-8.64666,True
T176,41.175531,-8.656425,False
T177,41.186709,-8.654094,False
T178,41.180868,-8.654256,True
T179,41.148792,-8.58582,False
T180,41.143005,-8.616762,False
T181,41.248413,-8.51319,True
T182,41.163318,-8.633844,True
T183,41.237487,-8.670231,True
T184,41.154336,-8.649873,True
T185,41.150853,-8.62605,True
T186,41.171004,-8.627193,True
T187,41.151114,-8.571177,True
T188,41.148783,-8.585937,False
T189,41.147604,-8.61138,False
T190,41.154246,-8.642403,False
T191,41.152581,-8.619543,False
T192,41.186133,-8.653968,True
T193,41.161203,-8.640666,False
T194,41.162301,-8.643897,False
T195,41.166252,-8.611425,True
T196,41.237586,-8.670222,False
T197,41.157441,-8.649684,False
T198,41.15547,-8.629614,True
T199,41.150862,-8.599014,True
T200,41.146713,-8.609409,False
T201,41.144337,-8.61759,False
T202,41.151015,-8.60679,True
T203,41.157261,-8.624862,True
T204,41.179581,-8.624268,True
T205,41.157378,-8.601012,False
T206,41.159304,-8.580321,True
T207,41.149665,-8.604936,True
T208,41.193117,-8.613261,False
T209,41.141493,-8.615268,True
T210,41.148567,-8.636787,True
T211,41.237442,-8.670213,True
T212,41.204916,-8.562492,True
T213,41.11011,-8.614062,True
T214,41.190678,-8.69931,False
T215,41.153445,-8.675739,False
T216,41.182785,-8.600166,True
T217,41.170266,-8.648532,False
T218,41.145615,-8.613225,False
T219,41.152923,-8.637849,True
T220,41.194125,-8.611335,True
T221,41.157153,-8.628408,False
T222,41.136273,-8.599302,False
T223,41.165226,-8.657658,False
T224,41.188356,-8.589807,True
T225,41.134275,-8.626068,False
T226,41.154615,-8.660979,False
T227,41.166243,-8.649306,False
T228,41.237055,-8.670042,False
T229,41.140413,-8.613126,False
T230,41.144463,-8.606043,False
T231,41.153616,-8.608086,True
T232,41.178546,-8.634546,False
T233,41.146245,-8.617617,False
T234,41.147001,-8.590023,True
T235,41.140746,-8.617131,True
T236,41.122953,-8.663724,False
T237,41.15376,-8.596962,True
T238,41.123088,-8.585586,False
T239,41.175405,-8.65629,True
T240,41.173839,-8.68878,True
T241,41.133609,-8.564121,False
T242,41.156487,-8.596395,False
T243,41.160429,-8.644014,True
T244,40.978548,-8.634276,True
T245,41.170563,-8.61282,False
T246,41.163714,-8.675037,True
T247,41.184855,-8.695305,True
T248,41.15295,-8.668548,True
T249,41.174289,-8.648604,False
T250,41.166072,-8.579484,False
T251,41.174397,-8.64873,True
T252,41.162337,-8.644257,False
T253,41.176026,-8.557317,True
T254,41.135841,-8.660781,False
T255,41.137866,-8.623485,True
T256,41.2371,-8.669844,True
T257,41.151564,-8.664678,True
T258,41.149476,-8.588772,True
T259,41.162256,-8.621019,True
T260,41.154948,-8.630622,True
T261,41.091507,-8.650053,True
T262,41.184441,-8.609562,False
T263,41.15358,-8.610039,True
T264,41.155065,-8.602821,False
T265,41.160249,-8.674308,False
T266,41.178582,-8.576883,True
T267,41.155533,-8.602578,False
T268,41.154417,-8.645841,True
T269,41.127849,-8.626932,False
T270,41.165406,-8.659107,True
T271,41.237505,-8.670276,True
T272,41.116302,-8.586954,True
T273,41.174226,-8.648532,False
T274,41.1858,-8.694495,True
T275,41.157837,-8.67996,True
T276,41.182074,-8.685306,True
T277,41.154075,-8.650152,True
T278,41.157603,-8.680941,True
T279,41.167224,-8.649486,True
T280,41.166432,-8.612334,False
T281,41.148315,-8.612973,False
T282,41.126121,-8.602047,False
T283,41.154444,-8.602596,True
T284,41.163921,-8.601714,True
T285,41.173578,-8.589834,True
T286,41.124753,-8.599878,False
T287,41.157738,-8.677836,False
T288,41.15331,-8.599482,True
T289,41.14854,-8.610975,True
T290,41.146767,-8.605683,False
T291,41.164821,-8.62794,True
T292,41.176899,-8.595504,True
T293,41.173443,-8.590041,True
T294,41.150205,-8.600238,False
T295,41.126445,-8.60427,False
T296,41.186592,-8.689806,True
T297,41.19039,-8.609328,True
T298,41.151204,-8.609751,False
T299,41.236668,-8.669304,True
T300,41.206986,-8.636922,False
T301,41.236785,-8.669925,True
T302,41.146803,-8.605431,False
T303,41.163561,-8.627769,True
T304,41.15592,-8.629587,True
T305,41.160924,-8.629191,False
T306,41.153418,-8.654481,False
T307,41.235147,-8.669376,False
T308,41.173434,-8.5554,True
T309,41.155524,-8.589123,False
T310,41.163372,-8.676189,False
T311,41.158647,-8.594379,True
T312,41.175999,-8.643816,True
T313,41.169366,-8.666622,False
T314,41.161644,-8.611398,False
T315,41.149926,-8.618004,False
T316,41.148864,-8.586036,False
T317,41.140593,-8.636094,False
T318,41.140476,-8.613072,True
T319,41.173245,-8.684883,False
T320,41.14899,-8.585829,False
T321,41.143329,-8.534961,True
T322,41.19813,-8.598312,False
T323,41.149737,-8.60562,False
T324,41.148981,-8.586252,True
T325,41.153787,-8.674011,False
T326,41.195808,-8.612667,False
T327,41.144265,-8.617554,False
